Placa,Chassi,Tipo,Ignição,HR Evento,HR Recebimento,Velocidade,Tensão,Sinal,Hodômetro,Endereço,Lat/Long
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:53,21/07/2025 15:53,33,14.02v,10,6703161,"Rua Tubarão, São José dos Pinhais - PR","-25.533764, -49.087547"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:54,21/07/2025 15:54,31,14.02v,10,6703543,"Rua Concórdia, São José dos Pinhais - PR","-25.536203, -49.08935"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:55,21/07/2025 15:55,6,13.67v,10,6703662,"Rua Canoinhas, São José dos Pinhais - PR","-25.535948, -49.089703"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:58,21/07/2025 15:58,0,12.88v,10,6703665,"Rua Canoinhas, São José dos Pinhais - PR","-25.535948, -49.08974"
TBI9A63,2180169507,IGNICAO_OFF,OFF,21/07/2025 15:58,21/07/2025 15:58,0,12.88v,10,6703665,"Rua Canoinhas, São José dos Pinhais - PR","-25.535948, -49.08974"
TBI9A63,2180169507,IGNICAO_ON,ON,21/07/2025 16:00,21/07/2025 16:00,0,13.84v,10,6703665,"Rua Canoinhas, São José dos Pinhais - PR","-25.535948, -49.08974"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:01,21/07/2025 16:01,11,14.09v,10,6704120,"Rua Concórdia, São José dos Pinhais - PR","-25.534374, -49.09253"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:04,21/07/2025 16:04,0,12.88v,10,6704149,"Rua Concórdia, São José dos Pinhais - PR","-25.534391, -49.092663"
TBI9A63,2180169507,IGNICAO_OFF,OFF,21/07/2025 16:04,21/07/2025 16:04,0,12.95v,10,6704149,"Rua Concórdia, São José dos Pinhais - PR","-25.534391, -49.092663"
TBI9A63,2180169507,IGNICAO_ON,ON,21/07/2025 16:26,21/07/2025 16:26,0,13.74v,10,6704149,"Rua Concórdia, São José dos Pinhais - PR","-25.534391, -49.092663"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:27,21/07/2025 16:27,8,14.02v,10,6704490,"Rua Canoinhas, São José dos Pinhais - PR","-25.53595, -49.08976"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:28,21/07/2025 16:28,5,12.6v,10,6704520,"Rua Canoinhas, São José dos Pinhais - PR","-25.536053, -49.089806"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:31,21/07/2025 16:31,0,12.84v,10,6704525,"Rua Canoinhas, São José dos Pinhais - PR","-25.536043, -49.089806"
TBI9A63,2180169507,IGNICAO_OFF,OFF,21/07/2025 16:31,21/07/2025 16:31,0,12.84v,10,6704525,"Rua Canoinhas, São José dos Pinhais - PR","-25.536043, -49.089806"
TBI9A63,2180169507,IGNICAO_ON,ON,21/07/2025 16:47,21/07/2025 16:47,0,13.76v,10,6704525,"Rua Canoinhas, São José dos Pinhais - PR","-25.536043, -49.089806"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:48,21/07/2025 16:48,30,13.67v,10,6704525,"Rua Lages, São José dos Pinhais - PR","-25.534376, -49.091423"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:48,21/07/2025 16:48,11,14.02v,10,6704782,"Rua Joaçaba, São José dos Pinhais - PR","-25.534266, -49.091434"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:48,21/07/2025 16:48,20,14.02v,10,6704815,"Rua Joaçaba, São José dos Pinhais - PR","-25.534147, -49.09177"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:48,21/07/2025 16:48,25,14.02v,10,6705035,"Rua Joaçaba, São José dos Pinhais - PR","-25.533182, -49.093582"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:48,21/07/2025 16:48,27,14.02v,10,6705065,"Rua Luiz Cordeiro da Rocha, São José dos Pinhais - PR","-25.532976, -49.0934"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:48,21/07/2025 16:48,13,13.91v,10,6705120,"Rua Videira, São José dos Pinhais - PR","-25.53263, -49.09318"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:49,21/07/2025 16:49,20,13.89v,10,6705179,"Rua Pastor Boleslau Olcha, São José dos Pinhais - PR","-25.532305, -49.09358"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:49,21/07/2025 16:50,37,13.81v,10,6705765,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.527863, -49.09169"
TBI9A63,2180169507,ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 16:52,21/07/2025 16:52,124,13.81v,10,6708650,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.516308, -49.11728"
TBI9A63,2180169507,RFU_ENG,ON,21/07/2025 16:52,21/07/2025 16:52,128,13.81v,10,6708721,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.516035, -49.117916"
TBI9A63,2180169507,FIM_ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 16:52,21/07/2025 16:52,116,13.81v,10,6709631,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.512377, -49.126022"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:53,21/07/2025 16:53,60,13.81v,10,6710059,"Acesso a Rodoanel Contorno Leste, São José dos Pinhais - PR","-25.510164, -49.129257"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:53,21/07/2025 16:53,46,13.81v,10,6710160,"Acesso à Rodovia BR-277, São José dos Pinhais - PR","-25.509453, -49.12872"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:53,21/07/2025 16:53,44,13.81v,10,6710234,"Acesso a Rodoanel Contorno Leste, São José dos Pinhais - PR","-25.50953, -49.127983"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:53,21/07/2025 16:53,45,13.77v,10,6710322,"Acesso a Rodoanel Contorno Leste, São José dos Pinhais - PR","-25.510056, -49.127377"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:53,21/07/2025 16:53,42,13.81v,10,6710388,"Anel Rodoviário Contorno Leste, São José dos Pinhais - PR","-25.510628, -49.127464"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:56,21/07/2025 16:56,97,13.84v,10,6714908,"Acesso a Rodoanel Contorno Leste, São José dos Pinhais - PR","-25.544428, -49.150803"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 16:57,21/07/2025 16:57,80,13.84v,10,6716883,"Anel Rodoviário Contorno Leste, São José dos Pinhais - PR","-25.561573, -49.152496"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 17:00,21/07/2025 17:00,82,13.88v,10,6720923,"Anel Rodoviário Contorno Leste, São José dos Pinhais - PR","-25.57065, -49.191216"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 17:03,21/07/2025 17:03,109,13.81v,10,6724931,"BR-116, São José dos Pinhais - PR","-25.568453, -49.230503"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 17:06,21/07/2025 17:06,79,13.84v,10,6728841,"BR-116, Curitiba - PR","-25.558342, -49.26772"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 17:09,21/07/2025 17:09,57,13.84v,10,6732095,"BR-376, Curitiba - PR","-25.545717, -49.29637"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 17:12,21/07/2025 17:12,101,13.88v,10,6736259,"Anel Rodoviário Contorno Sul, Curitiba - PR","-25.525942, -49.329952"
